NO_OF_FRAMES	994
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:21:38.805	951432.43934970
DATA_INCLUDED	3D
TITLE	Bevaring av energi i elastisk stöt 34.0 g vs (fjäderpuck) 31.6 g
MARKER_NAMES	v34_0g	vx	vy	h31_6g	hx	hy
COLLISION_TIME	0.91
TRAJECTORY_TYPES	Measured	Mixed	Mixed	Measured	Measured	Mixed
Frame	Time	v34_0g X	v34_0g Y	v34_0g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	
12691	25.38000	348.609	188.224	169.532	347.149	203.618	169.461	332.792	188.035	169.526	569.778	549.130	165.393	563.522	568.604	165.630	550.747	541.153	165.383
12692	25.38200	348.625	188.510	169.512	347.175	203.915	169.375	332.775	188.342	169.531	569.392	548.793	165.381	563.075	568.282	165.699	550.316	540.816	165.435
12693	25.38400	348.634	188.884	169.493	347.199	204.286	169.329	332.814	188.675	169.543	568.990	548.477	165.451	562.705	567.967	165.678	549.927	540.539	165.382
12694	25.38600	348.642	189.234	169.499	347.220	204.671	169.329	332.863	189.017	169.485	568.633	548.168	165.455	562.360	567.669	165.597	549.544	540.236	165.343
12695	25.38800	348.665	189.530	169.491	347.205	204.924	169.407	332.871	189.330	169.471	568.219	547.867	165.351	561.927	567.327	165.645	549.142	539.865	165.426
12696	25.39000	348.696	189.904	169.556	347.239	205.282	169.400	332.869	189.678	169.529	567.832	547.519	165.418	561.537	566.988	165.691	548.765	539.570	165.404
12697	25.39200	348.682	190.230	169.504	347.270	205.670	169.349	332.907	189.994	169.548	567.433	547.222	165.457	561.172	566.723	165.613	548.382	539.303	165.366
12698	25.39400	348.714	190.550	169.472	347.284	205.977	169.276	332.934	190.316	169.463	567.068	546.915	165.398	560.784	566.379	165.640	547.976	538.957	165.404
12699	25.39600	348.736	190.924	169.537	347.277	206.318	169.441	332.950	190.677	169.483	566.669	546.588	165.371	560.330	566.042	165.676	547.602	538.636	165.429
12700	25.39800	348.768	191.226	169.509	347.303	206.645	169.395	332.963	190.973	169.477	566.266	546.255	165.441	560.010	565.768	165.677	547.221	538.341	165.376
12701	25.40000	348.800	191.573	169.484	347.326	206.983	169.279	332.977	191.296	169.476	565.898	545.960	165.480	559.649	565.457	165.591	546.809	538.022	165.398
12702	25.40200	348.832	191.933	169.504	347.355	207.371	169.312	333.028	191.656	169.496	565.509	545.669	165.360	559.200	565.111	165.643	546.437	537.677	165.406
12703	25.40400	348.839	192.236	169.478	347.348	207.638	169.353	333.044	191.956	169.439	565.108	545.312	165.413	558.832	564.790	165.690	546.045	537.382	165.384
12704	25.40600	348.877	192.586	169.485	347.389	207.968	169.339	333.059	192.276	169.491	564.731	544.992	165.466	558.437	564.517	165.596	545.658	537.062	165.377
12705	25.40800	348.903	192.953	169.486	347.421	208.370	169.335	333.087	192.630	169.530	564.342	544.714	165.412	558.084	564.190	165.594	545.282	536.751	165.355
12706	25.41000	348.936	193.262	169.441	347.434	208.677	169.263	333.150	192.957	169.480	563.994	544.399	165.337	557.645	563.841	165.626	544.882	536.440	165.332
12707	25.41200	348.988	193.626	169.494	347.434	208.985	169.358	333.176	193.287	169.462	563.530	544.049	165.406	557.276	563.556	165.612	544.505	536.120	165.387
12708	25.41400	349.018	193.956	169.476	347.491	209.366	169.410	333.199	193.635	169.522	563.201	543.753	165.447	556.924	563.249	165.579	544.116	535.800	165.411
12709	25.41600	349.037	194.289	169.407	347.500	209.674	169.256	333.234	193.938	169.497	562.845	543.474	165.373	556.482	562.926	165.566	543.735	535.507	165.358
12710	25.41800	349.091	194.663	169.473	347.529	210.052	169.276	333.290	194.285	169.473	562.411	543.107	165.380	556.099	562.587	165.613	543.323	535.170	165.381
12711	25.42000	349.137	194.960	169.467	347.544	210.363	169.404	333.323	194.645	169.495	562.022	542.785	165.466	555.756	562.311	165.585	542.941	534.866	165.408
12712	25.42200	349.180	195.293	169.481	347.570	210.677	169.313	333.338	194.932	169.477	561.641	542.509	165.411	555.350	561.996	165.534	542.575	534.573	165.355
12713	25.42400	349.208	195.684	169.459	347.626	211.079	169.310	333.374	195.269	169.524	561.260	542.200	165.354	554.960	561.647	165.598	542.188	534.228	165.363
12714	25.42600	349.255	195.977	169.423	347.654	211.418	169.280	333.428	195.610	169.519	560.874	541.835	165.424	554.557	561.349	165.603	541.789	533.898	165.404
