NO_OF_FRAMES	750
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:14:28.168	951001.80429440
DATA_INCLUDED	3D
TITLE	Bevaring av energi i elastisk stöt 5.9g vs (fjäderpuck) 31.6g
MARKER_NAMES	v5_9g	vx	vy	h31_6g	hx	hy
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	v5_9g X	v5_9g Y	v5_9g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	
840	1.67800	558.930	305.444	161.401	542.337	316.562	165.701	549.459	288.475	165.419	582.189	533.185	165.207	561.543	536.139	165.676	580.587	512.608	165.131
841	1.68000	558.581	305.807	161.423	541.991	316.905	165.699	549.137	288.816	165.409	581.811	532.867	165.324	561.093	535.738	165.840	580.207	512.326	165.182
842	1.68200	558.233	306.143	161.436	541.630	317.217	165.768	548.818	289.150	165.382	581.487	532.549	165.380	560.774	535.505	165.775	579.822	512.023	165.241
843	1.68400	557.917	306.480	161.447	541.269	317.533	165.757	548.485	289.490	165.374	581.115	532.286	165.238	560.412	535.240	165.612	579.494	511.724	165.153
844	1.68600	557.543	306.832	161.458	540.936	317.879	165.785	548.164	289.833	165.363	580.712	531.976	165.248	560.001	534.868	165.698	579.204	511.435	165.102
845	1.68800	557.205	307.209	161.445	540.589	318.221	165.785	547.851	290.159	165.355	580.388	531.674	165.367	559.661	534.535	165.835	578.751	511.131	165.214
846	1.69000	556.873	307.539	161.474	540.225	318.521	165.809	547.504	290.506	165.330	580.027	531.387	165.333	559.295	534.279	165.719	578.406	510.825	165.227
847	1.69200	556.507	307.898	161.468	539.859	318.859	165.857	547.180	290.834	165.353	579.618	531.093	165.250	558.930	533.995	165.650	578.098	510.558	165.142
848	1.69400	556.162	308.242	161.462	539.502	319.208	165.806	546.858	291.176	165.343	579.241	530.815	165.231	558.564	533.592	165.818	577.727	510.237	165.143
849	1.69600	555.813	308.605	161.485	539.154	319.526	165.826	546.550	291.512	165.350	578.902	530.499	165.349	558.149	533.301	165.795	577.341	509.946	165.213
850	1.69800	555.496	308.958	161.495	538.786	319.859	165.811	546.187	291.863	165.355	578.508	530.196	165.344	557.813	533.096	165.681	576.961	509.640	165.219
851	1.70000	555.126	309.285	161.494	538.399	320.184	165.815	545.878	292.208	165.376	578.167	529.937	165.201	557.461	532.738	165.709	576.655	509.348	165.149
852	1.70200	554.757	309.652	161.469	538.059	320.533	165.763	545.520	292.535	165.403	577.778	529.601	165.288	557.026	532.358	165.810	576.320	509.064	165.150
853	1.70400	554.449	310.000	161.494	537.709	320.875	165.730	545.206	292.888	165.406	577.389	529.299	165.377	556.689	532.125	165.775	575.818	508.757	165.241
854	1.70600	554.062	310.342	161.491	537.347	321.183	165.737	544.880	293.243	165.440	577.058	529.030	165.281	556.323	531.842	165.645	575.517	508.445	165.237
855	1.70800	553.743	310.701	161.451	536.957	321.534	165.718	544.559	293.585	165.430	576.613	528.726	165.246	555.914	531.461	165.716	575.236	508.177	165.153
856	1.71000	553.379	311.054	161.461	536.625	321.891	165.650	544.208	293.922	165.471	576.253	528.423	165.273	555.551	531.128	165.854	574.831	507.858	165.209
857	1.71200	553.031	311.397	161.458	536.270	322.210	165.670	543.876	294.257	165.479	575.955	528.115	165.377	555.165	530.899	165.692	574.443	507.569	165.278
858	1.71400	552.670	311.735	161.470	535.882	322.527	165.692	543.564	294.600	165.469	575.492	527.836	165.296	554.811	530.608	165.607	574.074	507.271	165.213
859	1.71600	552.333	312.110	161.429	535.553	322.871	165.691	543.232	294.941	165.462	575.150	527.534	165.230	554.429	530.203	165.778	573.788	506.974	165.181
860	1.71800	551.986	312.446	161.442	535.164	323.219	165.642	542.895	295.284	165.452	574.804	527.198	165.350	554.029	529.912	165.756	573.355	506.666	165.217
861	1.72000	551.623	312.789	161.440	534.827	323.521	165.700	542.562	295.611	165.478	574.390	526.912	165.377	553.682	529.690	165.673	572.949	506.364	165.276
862	1.72200	551.299	313.143	161.450	534.457	323.857	165.717	542.252	295.959	165.420	574.058	526.652	165.298	553.335	529.332	165.734	572.664	506.062	165.224
863	1.72400	550.930	313.483	161.417	534.089	324.190	165.703	541.904	296.293	165.430	573.637	526.340	165.248	552.905	528.943	165.852	572.353	505.792	165.142
864	1.72600	550.575	313.854	161.423	533.749	324.515	165.709	541.576	296.637	165.420	573.271	526.021	165.338	552.564	528.710	165.787	571.892	505.469	165.233
865	1.72800	550.235	314.184	161.454	533.378	324.851	165.726	541.274	296.971	165.431	572.955	525.736	165.398	552.202	528.443	165.690	571.536	505.173	165.287
866	1.73000	549.864	314.533	161.437	533.034	325.165	165.796	540.920	297.296	165.427	572.540	525.459	165.223	551.793	528.045	165.762	571.208	504.880	165.155
867	1.73200	549.519	314.895	161.429	532.650	325.504	165.768	540.592	297.639	165.417	572.154	525.121	165.282	551.432	527.731	165.807	570.903	504.579	165.127
868	1.73400	549.180	315.239	161.426	532.308	325.846	165.736	540.266	297.984	165.441	571.828	524.811	165.357	551.043	527.483	165.677	570.429	504.265	165.202
869	1.73600	548.808	315.592	161.438	531.946	326.165	165.756	539.932	298.317	165.417	571.416	524.536	165.305	550.668	527.182	165.641	570.051	503.963	165.174
870	1.73800	548.472	315.944	161.417	531.545	326.497	165.744	539.583	298.662	165.441	571.043	524.250	165.242	550.313	526.780	165.781	569.778	503.653	165.106
871	1.74000	548.101	316.287	161.415	531.212	326.840	165.712	539.269	299.004	165.433	570.650	523.955	165.223	549.910	526.499	165.711	569.461	503.387	165.108
872	1.74200	547.793	316.635	161.443	530.846	327.182	165.681	538.916	299.340	165.441	570.290	523.630	165.328	549.555	526.275	165.631	568.965	503.066	165.198
873	1.74400	547.413	316.988	161.455	530.465	327.492	165.722	538.586	299.683	165.433	569.920	523.350	165.312	549.213	525.928	165.644	568.614	502.739	165.187
874	1.74600	547.063	317.336	161.405	530.107	327.816	165.694	538.241	300.026	165.426	569.541	523.076	165.168	548.751	525.531	165.778	568.315	502.465	165.085
875	1.74800	546.714	317.683	161.433	529.735	328.183	165.642	537.894	300.361	165.436	569.180	522.724	165.288	548.421	525.313	165.747	567.966	502.177	165.154
876	1.75000	546.358	318.036	161.446	529.374	328.499	165.633	537.574	300.711	165.410	568.830	522.428	165.366	548.059	525.050	165.585	567.496	501.857	165.245
877	1.75200	546.006	318.388	161.426	529.002	328.827	165.670	537.238	301.044	165.389	568.432	522.170	165.253	547.660	524.659	165.707	567.128	501.559	165.150
878	1.75400	545.653	318.756	161.404	528.647	329.163	165.689	536.915	301.386	165.383	568.021	521.848	165.252	547.314	524.317	165.832	566.879	501.281	165.117
879	1.75600	545.310	319.085	161.439	528.285	329.495	165.679	536.567	301.720	165.394	567.681	521.545	165.314	546.921	524.090	165.669	566.494	500.991	165.189
880	1.75800	544.951	319.437	161.419	527.937	329.831	165.698	536.240	302.054	165.372	567.320	521.248	165.370	546.555	523.787	165.698	566.049	500.683	165.230
881	1.76000	544.601	319.800	161.446	527.581	330.142	165.738	535.924	302.407	165.379	566.932	520.966	165.295	546.205	523.367	165.871	565.729	500.359	165.183
882	1.76200	544.272	320.162	161.440	527.182	330.478	165.791	535.600	302.752	165.404	566.567	520.663	165.231	545.765	523.111	165.787	565.459	500.099	165.118
883	1.76400	543.906	320.486	161.446	526.854	330.831	165.775	535.266	303.086	165.417	566.228	520.339	165.366	545.438	522.896	165.723	565.057	499.799	165.206
884	1.76600	543.556	320.853	161.503	526.508	331.157	165.781	534.937	303.433	165.474	565.831	520.059	165.383	545.088	522.531	165.738	564.607	499.470	165.220
885	1.76800	543.177	321.203	161.487	526.133	331.477	165.837	534.611	303.784	165.449	565.438	519.774	165.287	544.639	522.141	165.828	564.269	499.184	165.139
886	1.77000	542.832	321.554	161.468	525.781	331.828	165.822	534.267	304.120	165.493	565.047	519.472	165.254	544.312	521.907	165.766	564.010	498.905	165.139
887	1.77200	542.485	321.925	161.478	525.397	332.161	165.811	533.947	304.471	165.469	564.688	519.151	165.348	543.935	521.642	165.668	563.589	498.602	165.199
888	1.77400	542.121	322.258	161.466	525.042	332.487	165.818	533.609	304.813	165.463	564.306	518.869	165.375	543.530	521.225	165.776	563.147	498.281	165.205
889	1.77600	541.779	322.618	161.430	524.659	332.820	165.807	533.296	305.157	165.456	563.932	518.598	165.252	543.193	520.911	165.823	562.831	497.977	165.157
890	1.77800	541.417	322.979	161.426	524.291	333.154	165.795	532.924	305.508	165.465	563.559	518.251	165.330	542.789	520.690	165.679	562.552	497.700	165.148
891	1.78000	541.067	323.308	161.461	523.916	333.495	165.767	532.608	305.844	165.478	563.188	517.944	165.403	542.424	520.379	165.692	562.098	497.384	165.235
892	1.78200	540.699	323.676	161.441	523.549	333.829	165.756	532.273	306.194	165.453	562.813	517.702	165.356	542.056	519.987	165.818	561.649	497.061	165.181
893	1.78400	540.337	324.038	161.437	523.176	334.147	165.782	531.908	306.539	165.480	562.427	517.372	165.278	541.610	519.695	165.798	561.397	496.791	165.134
894	1.78600	539.996	324.357	161.458	522.796	334.496	165.735	531.588	306.872	165.460	562.040	517.069	165.278	541.314	519.508	165.656	561.076	496.510	165.136
895	1.78800	539.632	324.727	161.470	522.429	334.838	165.708	531.247	307.206	165.474	561.689	516.767	165.371	540.918	519.098	165.750	560.588	496.187	165.199
896	1.79000	539.270	325.071	161.471	522.086	335.151	165.781	530.886	307.559	165.481	561.268	516.490	165.323	540.482	518.709	165.872	560.223	495.862	165.155
897	1.79200	538.932	325.433	161.468	521.692	335.476	165.789	530.572	307.899	165.447	560.914	516.187	165.230	540.188	518.510	165.780	559.951	495.594	165.106
898	1.79400	538.562	325.780	161.533	521.362	335.820	165.793	530.240	308.238	165.489	560.578	515.844	165.337	539.762	518.211	165.713	559.604	495.306	165.147
899	1.79600	538.227	326.140	161.498	520.967	336.155	165.815	529.893	308.597	165.483	560.161	515.576	165.399	539.396	517.811	165.823	559.148	494.973	165.204
900	1.79800	537.864	326.500	161.497	520.625	336.465	165.858	529.583	308.924	165.514	559.808	515.299	165.291	539.038	517.514	165.841	558.773	494.671	165.146
901	1.80000	537.498	326.856	161.543	520.260	336.794	165.897	529.245	309.277	165.523	559.422	514.967	165.277	538.625	517.267	165.711	558.514	494.407	165.150
902	1.80200	537.153	327.197	161.514	519.885	337.145	165.884	528.917	309.615	165.568	559.016	514.667	165.306	538.280	516.982	165.680	558.153	494.115	165.201
903	1.80400	536.805	327.551	161.530	519.538	337.470	165.893	528.587	309.957	165.565	558.724	514.385	165.368	537.892	516.545	165.855	557.641	493.785	165.247
904	1.80600	536.450	327.912	161.528	519.155	337.805	165.882	528.251	310.308	165.542	558.290	514.104	165.293	537.482	516.300	165.787	557.337	493.488	165.187
905	1.80800	536.097	328.264	161.513	518.815	338.140	165.905	527.949	310.653	165.570	557.897	513.776	165.277	537.180	516.083	165.696	557.073	493.236	165.171
906	1.81000	535.746	328.619	161.560	518.433	338.489	165.862	527.579	310.995	165.567	557.578	513.460	165.368	536.777	515.676	165.789	556.633	492.917	165.264
907	1.81200	535.379	328.978	161.528	518.069	338.829	165.803	527.253	311.343	165.624	557.167	513.191	165.369	536.373	515.321	165.819	556.227	492.569	165.258
908	1.81400	535.025	329.330	161.512	517.683	339.147	165.829	526.924	311.710	165.600	556.794	512.888	165.308	536.051	515.095	165.776	555.893	492.299	165.179
909	1.81600	534.694	329.695	161.541	517.311	339.504	165.768	526.560	312.038	165.631	556.435	512.576	165.263	535.642	514.823	165.693	555.620	492.033	165.186
910	1.81800	534.306	330.038	161.544	516.958	339.853	165.691	526.231	312.398	165.624	556.034	512.275	165.324	535.259	514.414	165.820	555.202	491.703	165.209
911	1.82000	533.970	330.379	161.516	516.548	340.177	165.701	525.901	312.742	165.620	555.685	511.990	165.325	534.898	514.082	165.870	554.715	491.377	165.190
912	1.82200	533.608	330.769	161.524	516.188	340.512	165.691	525.575	313.076	165.600	555.295	511.704	165.202	534.498	513.900	165.691	554.451	491.079	165.164
913	1.82400	533.245	331.095	161.530	515.846	340.855	165.665	525.204	313.435	165.596	554.884	511.350	165.296	534.142	513.551	165.774	554.168	490.835	165.164
914	1.82600	532.893	331.465	161.511	515.444	341.170	165.662	524.883	313.768	165.578	554.560	511.067	165.358	533.736	513.108	165.900	553.663	490.489	165.210
915	1.82800	532.516	331.816	161.497	515.096	341.499	165.701	524.539	314.119	165.557	554.148	510.817	165.296	533.339	512.896	165.772	553.268	490.153	165.218
916	1.83000	532.174	332.145	161.535	514.737	341.812	165.776	524.202	314.452	165.541	553.772	510.462	165.266	533.017	512.652	165.729	553.015	489.919	165.170
917	1.83200	531.817	332.512	161.485	514.359	342.154	165.784	523.898	314.786	165.524	553.377	510.176	165.268	532.596	512.282	165.695	552.673	489.625	165.195
918	1.83400	531.461	332.883	161.499	514.012	342.491	165.806	523.544	315.118	165.508	553.005	509.885	165.345	532.194	511.908	165.854	552.169	489.263	165.272
919	1.83600	531.107	333.228	161.502	513.648	342.809	165.834	523.212	315.470	165.521	552.594	509.587	165.272	531.839	511.658	165.762	551.797	488.970	165.200
920	1.83800	530.743	333.571	161.507	513.289	343.145	165.891	522.877	315.812	165.486	552.238	509.292	165.196	531.412	511.420	165.617	551.532	488.698	165.189
921	1.84000	530.386	333.941	161.522	512.905	343.479	165.883	522.566	316.149	165.534	551.892	508.969	165.335	531.074	510.973	165.844	551.198	488.421	165.214
922	1.84200	530.009	334.275	161.513	512.553	343.821	165.859	522.218	316.501	165.546	551.500	508.664	165.370	530.693	510.672	165.781	550.673	488.054	165.209
923	1.84400	529.651	334.638	161.545	512.158	344.139	165.887	521.869	316.846	165.576	551.091	508.377	165.279	530.284	510.441	165.686	550.345	487.751	165.187
924	1.84600	529.313	335.000	161.545	511.781	344.482	165.893	521.552	317.191	165.606	550.725	508.067	165.233	529.980	510.128	165.707	550.142	487.525	165.126
925	1.84800	528.927	335.351	161.533	511.441	344.822	165.837	521.197	317.544	165.618	550.331	507.763	165.299	529.532	509.722	165.800	549.688	487.187	165.166
926	1.85000	528.571	335.698	161.568	511.033	345.156	165.831	520.874	317.880	165.634	550.005	507.493	165.312	529.137	509.436	165.803	549.194	486.824	165.182
