NO_OF_FRAMES	691
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:56:38.111	957131.71539290
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i inelastisk stöt 14.6g vs 22.9g
MARKER_NAMES	h22_9g	hx	hy	v14_6g	vx	vy
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	h22_9g X	h22_9g Y	h22_9g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v14_6g X	v14_6g Y	v14_6g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
14850	29.69800	519.694	556.296	164.500	495.245	576.885	164.428	502.495	533.066	164.651	389.432	381.241	165.799	411.436	378.556	166.094	392.877	404.271	165.778
14851	29.70000	519.253	555.861	164.530	494.756	576.377	164.508	501.992	532.572	164.671	389.471	381.232	165.784	411.492	379.063	166.192	392.216	404.365	165.769
14852	29.70200	518.757	555.371	164.528	494.264	575.864	164.448	501.616	532.072	164.732	389.494	381.232	165.785	411.513	379.806	166.030	391.639	404.495	165.757
14853	29.70400	518.334	554.882	164.620	493.738	575.337	164.528	501.207	531.579	164.691	389.517	381.223	165.771	411.559	380.369	166.214	390.885	404.553	165.756
14854	29.70600	517.832	554.437	164.605	493.280	574.861	164.468	500.751	531.089	164.734	389.534	381.231	165.755	411.552	381.064	165.980	390.264	404.594	165.722
14855	29.70800	517.378	553.914	164.664	492.755	574.316	164.549	500.398	530.611	164.729	389.566	381.239	165.738	411.565	381.674	166.202	389.680	404.636	165.721
14856	29.71000	516.892	553.476	164.635	492.299	573.840	164.489	499.912	530.132	164.691	389.568	381.229	165.725	411.550	382.361	165.989	388.916	404.616	165.746
14857	29.71200	516.459	552.981	164.647	491.765	573.297	164.538	499.572	529.625	164.737	389.587	381.237	165.709	411.540	382.932	166.121	388.321	404.595	165.702
14858	29.71400	515.980	552.526	164.649	491.305	572.829	164.495	499.122	529.128	164.701	389.598	381.236	165.678	411.506	383.678	166.056	387.718	404.542	165.763
14859	29.71600	515.568	552.120	164.571	490.789	572.277	164.499	498.676	528.613	164.758	389.616	381.244	165.662	411.468	384.199	166.053	386.928	404.451	165.797
14860	29.71800	515.110	551.622	164.586	490.327	571.816	164.505	498.263	528.107	164.709	389.618	381.262	165.661	411.407	384.913	166.056	386.364	404.361	165.790
14861	29.72000	514.686	551.216	164.509	489.807	571.284	164.477	497.783	527.611	164.733	389.626	381.262	165.661	411.332	385.506	166.107	385.668	404.244	165.814
14862	29.72200	514.199	550.708	164.572	489.368	570.795	164.530	497.429	527.149	164.671	389.627	381.270	165.644	411.238	386.131	166.058	384.954	404.109	165.806
14863	29.72400	513.748	550.254	164.543	488.801	570.289	164.518	497.025	526.670	164.636	389.628	381.279	165.659	411.099	386.804	166.148	384.415	404.017	165.739
14864	29.72600	513.240	549.765	164.574	488.370	569.765	164.540	496.626	526.166	164.647	389.636	381.287	165.642	410.906	387.400	166.088	383.778	403.881	165.733
14865	29.72800	512.759	549.276	164.606	487.829	569.286	164.546	496.176	525.685	164.614	389.637	381.295	165.625	410.744	388.018	166.122	383.090	403.735	165.677
14866	29.73000	512.280	548.831	164.593	487.358	568.734	164.583	495.725	525.172	164.641	389.653	381.313	165.623	410.467	388.650	166.056	382.541	403.537	165.624
14867	29.73200	511.848	548.315	164.673	486.856	568.282	164.574	495.309	524.681	164.626	389.654	381.311	165.591	410.295	389.234	166.125	381.839	403.315	165.663
14868	29.73400	511.365	547.897	164.645	486.355	567.723	164.563	494.904	524.176	164.672	389.655	381.329	165.589	410.096	389.851	166.129	381.263	403.096	165.756
14869	29.73600	510.939	547.430	164.643	485.872	567.262	164.540	494.456	523.698	164.636	389.655	381.337	165.572	409.870	390.423	166.120	380.610	402.855	165.762
14870	29.73800	510.485	546.970	164.629	485.338	566.712	164.544	494.065	523.219	164.635	389.671	381.337	165.572	409.582	391.040	166.119	379.966	402.604	165.722
14871	29.74000	510.063	546.544	164.585	484.861	566.234	164.520	493.622	522.732	164.616	389.678	381.345	165.555	409.305	391.586	166.132	379.434	402.301	165.686
14872	29.74200	509.602	546.038	164.649	484.349	565.718	164.558	493.253	522.261	164.633	389.686	381.355	165.570	409.014	392.177	166.155	378.786	402.025	165.699
14873	29.74400	509.138	545.612	164.575	483.889	565.214	164.518	492.816	521.748	164.660	389.663	381.372	165.568	408.708	392.740	166.130	378.207	401.706	165.726
14874	29.74600	508.643	545.113	164.656	483.364	564.725	164.543	492.361	521.258	164.677	389.663	381.372	165.569	408.372	393.287	166.174	377.612	401.367	165.670
14875	29.74800	508.153	544.651	164.613	482.922	564.195	164.516	491.946	520.753	164.754	389.663	381.380	165.552	408.045	393.848	166.121	377.086	401.029	165.674
14876	29.75000	507.689	544.188	164.633	482.399	563.714	164.527	491.490	520.255	164.755	389.662	381.380	165.552	407.668	394.362	166.198	376.536	400.693	165.706
14877	29.75200	507.199	543.691	164.651	481.950	563.185	164.501	491.108	519.749	164.803	389.653	381.380	165.553	407.280	394.887	166.119	375.949	400.267	165.690
14878	29.75400	506.773	543.265	164.579	481.407	562.695	164.466	490.675	519.272	164.769	389.645	381.398	165.550	406.889	395.399	166.168	375.400	399.860	165.736
14879	29.75600	506.284	542.760	164.611	480.954	562.164	164.503	490.286	518.793	164.738	389.637	381.407	165.564	406.474	395.875	166.187	374.881	399.495	165.699
14880	29.75800	505.894	542.360	164.556	480.421	561.684	164.453	489.895	518.307	164.753	389.637	381.415	165.547	406.040	396.400	166.142	374.363	399.033	165.655
14881	29.76000	505.429	541.882	164.574	479.974	561.162	164.506	489.430	517.818	164.707	389.637	381.415	165.548	405.610	396.841	166.165	373.921	398.617	165.687
14882	29.76200	505.011	541.395	164.578	479.462	560.663	164.487	489.046	517.303	164.773	389.629	381.425	165.563	405.211	397.317	166.189	373.420	398.171	165.610
14883	29.76400	504.526	540.932	164.569	478.993	560.158	164.542	488.562	516.814	164.728	389.636	381.434	165.577	404.721	397.764	166.164	372.983	397.687	165.684
14884	29.76600	504.077	540.435	164.651	478.482	559.643	164.491	488.182	516.299	164.762	389.643	381.444	165.592	404.335	398.171	166.225	372.449	397.181	165.666
