NO_OF_FRAMES	1059
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:38:23.061	956036.66940720
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i inelastisk stöt 14.6g vs 27.7g
MARKER_NAMES	h27_7g	hx	hy	v14_6g	vx	vy
COLLISION_TIME	0
TRAJECTORY_TYPES	Mixed	Mixed	Measured	Mixed	Measured	Mixed
Frame	Time	h27_7g X	h27_7g Y	h27_7g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v14_6g X	v14_6g Y	v14_6g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
11295	22.58800	539.991	589.036	164.916	560.266	589.351	165.119	537.509	609.893	164.962	446.534	402.464	165.604	446.601	380.246	165.971	469.801	401.647	165.332
11296	22.59000	539.856	588.779	164.946	559.960	589.436	165.112	536.778	609.544	164.941	446.519	402.578	165.607	446.802	380.328	166.046	469.748	401.976	165.363
11297	22.59200	539.808	588.519	164.957	559.795	589.548	165.048	536.344	609.198	164.955	446.457	402.702	165.654	446.889	380.419	166.130	469.716	402.299	165.307
11298	22.59400	539.678	588.241	164.936	559.695	589.649	164.972	535.726	608.864	164.970	446.386	402.800	165.687	447.002	380.500	166.201	469.701	402.635	165.325
11299	22.59600	539.454	587.943	164.936	559.541	589.749	164.958	535.248	608.510	164.966	446.329	402.900	165.750	447.121	380.572	166.225	469.641	402.961	165.329
11300	22.59800	539.285	587.684	164.938	559.345	589.846	164.914	534.724	608.150	164.943	446.322	403.015	165.783	447.418	380.674	166.221	469.602	403.245	165.353
11301	22.60000	539.146	587.376	164.933	559.068	589.971	164.844	534.163	607.798	164.929	446.285	403.122	165.800	447.715	380.777	166.182	469.582	403.597	165.339
11302	22.60200	538.943	587.093	164.945	558.865	590.017	164.857	533.631	607.411	164.921	446.278	403.228	165.818	447.824	380.888	166.089	469.536	403.922	165.312
11303	22.60400	538.792	586.837	164.914	558.662	590.067	164.950	533.102	607.053	164.889	446.210	403.316	165.803	447.944	381.017	166.025	469.455	404.231	165.318
11304	22.60600	538.643	586.553	164.928	558.433	590.144	164.998	532.614	606.673	164.898	446.156	403.404	165.791	448.081	381.138	165.980	469.415	404.525	165.389
11305	22.60800	538.466	586.243	164.925	558.209	590.231	164.999	532.029	606.262	164.893	446.118	403.509	165.777	448.283	381.272	165.977	469.411	404.885	165.327
11306	22.61000	538.304	585.950	164.923	557.948	590.324	164.987	531.535	605.872	164.888	446.073	403.588	165.750	448.597	381.409	166.002	469.360	405.201	165.286
11307	22.61200	538.154	585.693	164.954	557.687	590.420	164.973	530.993	605.462	164.913	446.048	403.686	165.784	448.786	381.543	166.035	469.269	405.509	165.326
11308	22.61400	537.985	585.411	164.936	557.461	590.498	164.990	530.471	605.037	164.874	446.009	403.782	165.755	448.895	381.642	166.102	469.198	405.836	165.363
11309	22.61600	537.826	585.119	164.903	557.213	590.558	165.004	529.941	604.615	164.947	445.985	403.879	165.757	449.016	381.722	166.143	469.166	406.162	165.269
11310	22.61800	537.663	584.852	164.919	556.930	590.628	164.973	529.450	604.191	164.909	445.960	403.985	165.774	449.199	381.837	166.145	469.137	406.486	165.213
11311	22.62000	537.497	584.542	164.947	556.629	590.695	164.974	528.909	603.755	164.917	445.936	404.084	165.808	449.520	381.954	166.110	469.063	406.800	165.376
11312	22.62200	537.332	584.260	164.899	556.371	590.728	165.003	528.429	603.310	164.942	445.926	404.188	165.763	449.736	382.078	166.094	469.043	407.092	165.385
11313	22.62400	537.172	584.004	164.867	556.072	590.790	164.985	527.923	602.885	164.904	445.905	404.285	165.765	449.851	382.224	166.029	469.021	407.425	165.278
11314	22.62600	537.032	583.720	164.882	555.786	590.858	164.986	527.409	602.403	164.958	445.883	404.365	165.770	449.974	382.390	165.993	468.960	407.796	165.260
11315	22.62800	536.848	583.409	164.942	555.494	590.918	164.970	526.905	601.980	164.889	445.832	404.443	165.744	450.118	382.540	166.023	468.897	408.075	165.395
11316	22.63000	536.683	583.144	164.896	555.186	590.969	164.968	526.368	601.479	164.942	445.780	404.529	165.735	450.363	382.676	166.051	468.849	408.355	165.360
11317	22.63200	536.529	582.878	164.880	554.867	591.029	164.982	525.921	601.037	164.935	445.740	404.609	165.739	450.632	382.804	166.062	468.787	408.733	165.295
11318	22.63400	536.350	582.577	164.894	554.559	591.079	164.981	525.381	600.548	164.942	445.726	404.697	165.727	450.808	382.928	166.079	468.675	409.086	165.313
