NO_OF_FRAMES	1203
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:26:07.538	955301.15085320
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i inelastisk stöt 14.6g vs 34.4g
MARKER_NAMES	h34_3g	hx	hy	v14_6g	vx	vy
COLLISION_TIME	0
TRAJECTORY_TYPES	Mixed	Measured	Measured	Measured	Measured	Measured
Frame	Time	h34_3g X	h34_3g Y	h34_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v14_6g X	v14_6g Y	v14_6g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
9806	19.61000	572.640	635.235	169.236	581.643	622.975	169.513	585.936	644.393	169.322	530.067	347.748	165.315	511.472	335.774	165.905	541.992	327.644	165.283
9807	19.61200	572.451	635.022	169.213	581.630	622.898	169.489	585.566	644.358	169.312	529.906	347.905	165.316	511.426	335.809	165.898	541.961	327.882	165.316
9808	19.61400	572.253	634.763	169.262	581.631	622.810	169.481	585.269	644.345	169.292	529.804	348.057	165.331	511.380	335.844	165.889	541.978	328.151	165.244
9809	19.61600	572.000	634.574	169.236	581.618	622.749	169.460	584.901	644.302	169.265	529.675	348.218	165.361	511.325	335.871	165.898	542.031	328.439	165.202
9810	19.61800	571.830	634.360	169.244	581.594	622.689	169.469	584.547	644.281	169.259	529.517	348.401	165.340	511.289	335.906	165.890	542.042	328.695	165.159
9811	19.62000	571.631	634.120	169.233	581.579	622.600	169.461	584.229	644.258	169.284	529.376	348.585	165.319	511.245	335.940	165.883	542.021	328.910	165.209
9812	19.62200	571.460	633.878	169.255	581.524	622.522	169.468	583.854	644.213	169.258	529.259	348.736	165.302	511.198	335.968	165.892	541.991	329.173	165.223
9813	19.62400	571.230	633.640	169.243	581.481	622.440	169.507	583.482	644.184	169.265	529.155	348.895	165.302	511.108	336.008	165.869	542.018	329.460	165.180
9814	19.62600	571.012	633.430	169.248	581.442	622.377	169.517	583.116	644.135	169.302	528.943	349.049	165.307	511.063	336.043	165.860	542.058	329.734	165.135
9815	19.62800	570.786	633.227	169.209	581.396	622.307	169.510	582.775	644.110	169.247	528.820	349.227	165.334	511.017	336.079	165.852	542.036	329.983	165.145
9816	19.63000	570.605	632.995	169.246	581.370	622.253	169.536	582.353	644.050	169.298	528.716	349.390	165.362	510.979	336.114	165.843	542.023	330.225	165.207
9817	19.63200	570.405	632.756	169.235	581.317	622.183	169.528	582.046	644.026	169.273	528.572	349.558	165.376	510.933	336.148	165.836	542.013	330.504	165.219
9818	19.63400	570.210	632.535	169.257	581.290	622.130	169.554	581.615	643.958	169.277	528.416	349.730	165.309	510.908	336.193	165.842	542.059	330.796	165.169
9819	19.63600	569.980	632.315	169.247	581.237	622.078	169.548	581.246	643.938	169.270	528.283	349.913	165.256	510.855	336.237	165.849	542.025	331.062	165.176
9820	19.63800	569.756	632.101	169.254	581.191	622.027	169.542	580.890	643.874	169.273	528.171	350.082	165.268	510.800	336.289	165.837	542.025	331.338	165.232
9821	19.64000	569.571	631.882	169.244	581.109	621.965	169.520	580.481	643.827	169.278	527.962	350.254	165.271	510.768	336.325	165.862	542.036	331.588	165.277
9822	19.64200	569.371	631.634	169.248	581.065	621.938	169.502	580.130	643.779	169.254	527.823	350.433	165.298	510.727	336.380	165.881	541.985	331.868	165.286
9823	19.64400	569.177	631.420	169.256	580.988	621.885	169.496	579.704	643.687	169.330	527.727	350.587	165.345	510.692	336.426	165.918	542.032	332.142	165.242
9824	19.64600	568.985	631.217	169.249	580.923	621.850	169.461	579.329	643.659	169.306	527.624	350.745	165.345	510.653	336.470	165.926	542.034	332.423	165.250
9825	19.64800	568.740	630.978	169.237	580.862	621.815	169.457	578.909	643.574	169.338	527.452	350.911	165.294	510.634	336.507	165.950	542.020	332.697	165.240
9826	19.65000	568.545	630.739	169.258	580.783	621.772	169.467	578.546	643.513	169.340	527.314	351.095	165.271	510.595	336.559	165.939	542.015	332.972	165.230
9827	19.65200	568.359	630.509	169.264	580.723	621.729	169.445	578.124	643.421	169.326	527.199	351.274	165.299	510.571	336.603	165.946	542.026	333.236	165.207
9828	19.65400	568.169	630.298	169.240	580.653	621.702	169.458	577.746	643.355	169.329	527.068	351.449	165.298	510.547	336.638	165.938	542.025	333.523	165.200
9829	19.65600	567.968	630.100	169.251	580.566	621.676	169.469	577.364	643.274	169.300	526.872	351.613	165.318	510.533	336.690	165.927	541.972	333.797	165.189
9830	19.65800	567.756	629.868	169.288	580.507	621.633	169.448	576.962	643.182	169.316	526.759	351.754	165.321	510.513	336.733	165.902	541.965	334.072	165.179
9831	19.66000	567.533	629.632	169.276	580.436	621.605	169.461	576.565	643.101	169.286	526.632	351.889	165.339	510.485	336.775	165.879	541.997	334.343	165.142
9832	19.66200	567.355	629.401	169.283	580.357	621.578	169.473	576.150	643.027	169.273	526.500	352.056	165.321	510.464	336.828	165.866	542.014	334.624	165.185
9833	19.66400	567.159	629.180	169.244	580.275	621.550	169.454	575.765	642.927	169.272	526.364	352.258	165.297	510.444	336.887	165.839	541.905	334.900	165.170
9834	19.66600	566.957	628.974	169.269	580.183	621.532	169.451	575.333	642.843	169.274	526.254	352.454	165.321	510.415	336.940	165.827	541.914	335.190	165.159
9835	19.66800	566.745	628.742	169.306	580.098	621.513	169.449	574.954	642.751	169.290	526.133	352.605	165.338	510.407	336.994	165.849	541.882	335.461	165.190
9836	19.67000	566.560	628.506	169.295	579.997	621.503	169.462	574.506	642.626	169.300	525.958	352.768	165.326	510.359	337.039	165.853	541.940	335.749	165.190
9837	19.67200	566.337	628.286	169.286	579.883	621.462	169.439	574.091	642.535	169.285	525.806	352.915	165.281	510.336	337.101	165.856	541.887	336.033	165.228
9838	19.67400	566.123	628.063	169.279	579.783	621.445	169.436	573.668	642.434	169.285	525.666	353.075	165.313	510.328	337.155	165.877	541.872	336.331	165.199
9839	19.67600	565.939	627.842	169.271	579.677	621.436	169.418	573.256	642.326	169.267	525.544	353.246	165.357	510.297	337.217	165.881	541.894	336.639	165.186
9840	19.67800	565.730	627.628	169.279	579.559	621.428	169.430	572.818	642.218	169.250	525.419	353.455	165.317	510.272	337.272	165.900	541.881	336.915	165.211
9841	19.68000	565.539	627.407	169.271	579.436	621.410	169.426	572.415	642.101	169.247	525.281	353.632	165.313	510.256	337.333	165.903	541.852	337.180	165.220
9842	19.68200	565.320	627.186	169.294	579.330	621.400	169.409	572.010	641.967	169.212	525.163	353.774	165.314	510.242	337.393	165.875	541.820	337.469	165.210
9843	19.68400	565.098	626.976	169.269	579.221	621.389	169.423	571.596	641.842	169.222	525.068	353.915	165.319	510.216	337.458	165.908	541.818	337.803	165.175
9844	19.68600	564.896	626.753	169.293	579.105	621.389	169.421	571.155	641.711	169.266	524.885	354.080	165.304	510.200	337.527	165.894	541.758	338.066	165.189
9845	19.68800	564.687	626.522	169.300	578.991	621.382	169.402	570.698	641.596	169.261	524.754	354.277	165.328	510.177	337.580	165.883	541.806	338.353	165.225
9846	19.69000	564.491	626.301	169.261	578.871	621.382	169.369	570.276	641.478	169.259	524.589	354.445	165.376	510.168	337.650	165.868	541.765	338.644	165.247
9847	19.69200	564.297	626.090	169.269	578.714	621.363	169.396	569.834	641.342	169.255	524.466	354.637	165.340	510.147	337.722	165.884	541.716	338.959	165.182
