NO_OF_FRAMES	1155
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:51:59.474	956853.07969380
DATA_INCLUDED	3D
MARKER_NAMES	h27_7g	hx	hy	v22_9g	vx	vy
TRAJECTORY_TYPES	Mixed	Measured	Mixed	Measured	Measured	Measured
Frame	Time	h27_7g X	h27_7g Y	h27_7g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v22_9g X	v22_9g Y	v22_9g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
10713	21.42400	485.672	635.425	165.171	488.817	615.452	165.235	506.022	640.334	164.917	453.401	392.583	164.677	474.873	416.131	164.392	430.890	410.808	164.492
10714	21.42600	485.608	635.152	165.188	488.964	615.195	165.234	505.809	640.425	164.859	453.404	392.760	164.684	475.059	416.069	164.387	431.068	411.233	164.505
10715	21.42800	485.493	634.898	165.174	489.154	614.974	165.267	505.625	640.511	164.866	453.384	392.927	164.675	475.324	416.007	164.386	431.254	411.605	164.528
10716	21.43000	485.369	634.633	165.177	489.397	614.807	165.302	505.424	640.597	164.873	453.370	393.104	164.682	475.578	415.956	164.394	431.456	412.046	164.510
10717	21.43200	485.228	634.373	165.228	489.627	614.649	165.325	505.187	640.673	164.865	453.368	393.289	164.705	475.811	415.895	164.357	431.627	412.443	164.513
10718	21.43400	485.121	634.135	165.218	489.848	614.462	165.361	504.955	640.734	164.883	453.366	393.449	164.714	476.025	415.824	164.371	431.824	412.808	164.548
10719	21.43600	485.008	633.882	165.174	490.057	614.280	165.333	504.730	640.810	164.904	453.356	393.624	164.688	476.240	415.762	164.401	432.021	413.231	164.502
10720	21.43800	484.890	633.598	165.207	490.273	614.115	165.306	504.508	640.877	164.910	453.341	393.784	164.697	476.481	415.683	164.365	432.237	413.630	164.503
10721	21.44000	484.789	633.323	165.225	490.490	613.940	165.296	504.270	640.944	164.916	453.329	393.951	164.690	476.698	415.613	164.344	432.423	413.992	164.545
10722	21.44200	484.667	633.077	165.198	490.696	613.763	165.317	504.036	641.001	164.967	453.310	394.118	164.683	476.948	415.542	164.294	432.639	414.417	164.528
10723	21.44400	484.562	632.806	165.153	490.972	613.604	165.342	503.779	641.079	164.986	453.295	394.294	164.689	477.138	415.462	164.292	432.825	414.806	164.515
10724	21.44600	484.447	632.550	165.142	491.202	613.454	165.349	503.503	641.129	164.989	453.310	394.463	164.714	477.370	415.375	164.307	433.062	415.172	164.585
10725	21.44800	484.336	632.274	165.191	491.398	613.326	165.294	503.274	641.188	164.978	453.316	394.640	164.722	477.571	415.262	164.339	433.294	415.569	164.559
10726	21.45000	484.235	632.027	165.196	491.577	613.206	165.254	503.012	641.257	164.981	453.299	394.824	164.712	477.735	415.191	164.320	433.493	415.955	164.486
10727	21.45200	484.128	631.764	165.167	491.807	613.091	165.265	502.729	641.328	164.953	453.298	394.975	164.706	477.970	415.086	164.337	433.654	416.328	164.542
10728	21.45400	484.019	631.508	165.187	492.050	612.960	165.304	502.450	641.369	164.969	453.281	395.141	164.666	478.177	414.975	164.398	433.876	416.683	164.531
10729	21.45600	483.912	631.251	165.177	492.255	612.828	165.343	502.179	641.418	165.003	453.284	395.317	164.674	478.382	414.886	164.382	434.187	417.098	164.470
10730	21.45800	483.787	631.012	165.198	492.430	612.722	165.369	501.881	641.470	164.973	453.248	395.501	164.667	478.592	414.799	164.364	434.388	417.452	164.532
10731	21.46000	483.665	630.749	165.170	492.591	612.601	165.360	501.542	641.523	164.972	453.261	395.662	164.706	478.751	414.703	164.394	434.559	417.805	164.493
10732	21.46200	483.570	630.466	165.202	492.775	612.506	165.370	501.279	641.564	164.989	453.267	395.849	164.727	478.927	414.589	164.394	434.789	418.187	164.498
10733	21.46400	483.448	630.220	165.176	492.961	612.392	165.349	500.963	641.621	165.008	453.265	396.008	164.737	479.113	414.499	164.347	435.082	418.577	164.486
10734	21.46600	483.317	629.954	165.180	493.161	612.289	165.342	500.652	641.645	165.052	453.248	396.176	164.728	479.323	414.393	164.332	435.268	418.886	164.503
10735	21.46800	483.211	629.691	165.152	493.307	612.185	165.335	500.329	641.661	165.049	453.244	396.343	164.721	479.507	414.281	164.362	435.502	419.292	164.462
10736	21.47000	483.085	629.425	165.187	493.470	612.097	165.332	500.007	641.720	165.037	453.225	396.536	164.694	479.663	414.202	164.326	435.726	419.647	164.487
10737	21.47200	482.994	629.179	165.162	493.630	612.001	165.341	499.720	641.724	165.081	453.189	396.720	164.686	479.864	414.104	164.294	435.963	419.984	164.483
10738	21.47400	482.888	628.933	165.136	493.790	611.906	165.350	499.349	641.749	165.093	453.189	396.879	164.696	480.080	413.975	164.327	436.246	420.348	164.526
10739	21.47600	482.753	628.639	165.184	493.998	611.853	165.350	499.013	641.766	165.059	453.180	397.056	164.702	480.233	413.861	164.360	436.461	420.718	164.490
10740	21.47800	482.645	628.375	165.188	494.177	611.794	165.332	498.721	641.781	165.057	453.164	397.189	164.700	480.404	413.727	164.366	436.617	421.044	164.439
10741	21.48000	482.540	628.137	165.149	494.315	611.742	165.330	498.290	641.804	165.069	453.139	397.356	164.692	480.549	413.587	164.385	436.966	421.392	164.514
10742	21.48200	482.450	627.901	165.109	494.455	611.681	165.312	497.980	641.784	165.094	453.154	397.517	164.733	480.703	413.464	164.369	437.225	421.730	164.543
10743	21.48400	482.290	627.597	165.203	494.608	611.619	165.325	497.653	641.827	165.048	453.144	397.700	164.693	480.851	413.340	164.357	437.418	422.055	164.464
10744	21.48600	482.191	627.360	165.163	494.752	611.548	165.353	497.227	641.814	165.087	453.130	397.877	164.700	481.021	413.205	164.333	437.635	422.427	164.491
10745	21.48800	482.078	627.106	165.121	494.884	611.490	165.333	496.904	641.812	165.083	453.118	398.034	164.646	481.167	413.091	164.332	437.981	422.723	164.571
10746	21.49000	481.947	626.840	165.127	495.016	611.447	165.316	496.551	641.810	165.078	453.110	398.193	164.623	481.344	412.961	164.333	438.198	423.015	164.558
10747	21.49200	481.875	626.575	165.162	495.163	611.423	165.299	496.123	641.771	165.129	453.098	398.344	164.648	481.467	412.845	164.303	438.418	423.368	164.556
10748	21.49400	481.759	626.327	165.169	495.309	611.389	165.298	495.805	641.779	165.080	453.089	398.512	164.674	481.613	412.706	164.320	438.675	423.739	164.553
10749	21.49600	481.632	626.082	165.113	495.427	611.348	165.250	495.415	641.730	165.146	453.083	398.698	164.698	481.750	412.557	164.357	439.021	423.990	164.556
10750	21.49800	481.510	625.817	165.087	495.528	611.312	165.250	494.979	641.728	165.109	453.085	398.884	164.720	481.906	412.390	164.363	439.230	424.302	164.639
