NO_OF_FRAMES	1047
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:28:50.355	955463.96763710
DATA_INCLUDED	3D
MARKER_NAMES	h34_3g	hx	hy	v22_9g	vx	vy
TRAJECTORY_TYPES	Measured	Measured	Mixed	Mixed	Measured	Measured
Frame	Time	h34_3g X	h34_3g Y	h34_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v22_9g X	v22_9g Y	v22_9g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
4481	8.96000	538.882	591.633	169.332	524.533	586.794	169.215	543.714	576.153	169.450	478.416	326.026	164.399	460.398	298.821	164.434	503.450	309.828	164.378
4482	8.96200	538.605	591.309	169.322	524.386	585.993	169.215	543.867	575.968	169.461	478.205	326.223	164.449	460.559	298.793	164.393	503.496	310.385	164.393
4483	8.96400	538.273	590.954	169.328	524.235	585.207	169.249	544.005	575.783	169.471	477.937	326.408	164.453	460.682	298.749	164.390	503.403	310.896	164.406
4484	8.96600	537.990	590.605	169.383	524.138	584.467	169.210	544.174	575.607	169.467	477.696	326.592	164.459	460.835	298.706	164.387	503.431	311.478	164.401
4485	8.96800	537.670	590.261	169.342	524.010	583.681	169.246	544.323	575.461	169.446	477.431	326.800	164.410	460.982	298.662	164.385	503.334	311.980	164.398
4486	8.97000	537.340	589.935	169.333	523.908	582.905	169.268	544.468	575.331	169.456	477.227	326.991	164.365	461.129	298.627	164.398	503.330	312.576	164.360
4487	8.97200	537.074	589.580	169.372	523.839	582.156	169.245	544.574	575.199	169.468	476.967	327.210	164.363	461.274	298.603	164.422	503.256	313.098	164.384
4488	8.97400	536.763	589.259	169.321	523.768	581.406	169.255	544.704	575.085	169.481	476.719	327.390	164.415	461.425	298.585	164.394	503.178	313.678	164.382
4489	8.97600	536.437	588.862	169.339	523.688	580.647	169.279	544.824	574.996	169.511	476.442	327.581	164.406	461.541	298.560	164.421	503.152	314.226	164.385
4490	8.97800	536.127	588.536	169.361	523.640	579.933	169.292	544.975	574.906	169.542	476.231	327.751	164.446	461.732	298.561	164.422	503.064	314.791	164.420
