NO_OF_FRAMES	1139
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:34:17.490	955791.10098720
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i inelastisk stöt 27.7 g vs 34.3 g
MARKER_NAMES	h34_3g	hx	hy	v27_7g	vy	vx
COLLISION_TIME	0.76
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	h34_3g X	h34_3g Y	h34_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v27_7g X	v27_7g Y	v27_7g Z	vy X	vy Y	vy Z	vx X	vx Y	vx Z	
5341	10.68000	473.832	552.974	169.451	462.675	542.707	169.538	484.420	540.806	169.697	420.885	375.068	164.765	441.189	380.374	164.805	424.119	355.109	164.759
5342	10.68200	473.637	552.805	169.492	462.782	542.278	169.517	484.520	540.894	169.700	420.742	375.251	164.716	441.125	380.234	164.827	423.594	355.260	164.802
5343	10.68400	473.428	552.609	169.517	462.773	541.826	169.532	484.566	540.984	169.700	420.598	375.461	164.680	441.047	380.101	164.831	423.121	355.419	164.862
5344	10.68600	473.207	552.450	169.479	462.854	541.386	169.560	484.652	541.083	169.685	420.441	375.665	164.726	440.968	379.970	164.866	422.584	355.566	164.843
5345	10.68800	472.977	552.273	169.472	462.923	540.964	169.557	484.715	541.180	169.670	420.256	375.850	164.741	440.868	379.803	164.872	422.117	355.718	164.744
5346	10.69000	472.769	552.104	169.481	462.978	540.568	169.508	484.730	541.286	169.671	420.099	376.035	164.722	440.770	379.607	164.836	421.557	355.882	164.684
5347	10.69200	472.555	551.936	169.459	463.045	540.111	169.535	484.777	541.383	169.658	419.950	376.227	164.685	440.656	379.420	164.816	421.114	356.051	164.761
5348	10.69400	472.348	551.767	169.438	463.090	539.705	169.534	484.823	541.517	169.673	419.730	376.439	164.715	440.516	379.253	164.824	420.631	356.241	164.856
5349	10.69600	472.140	551.582	169.446	463.196	539.336	169.532	484.845	541.650	169.689	419.570	376.636	164.812	440.400	379.130	164.840	420.190	356.400	164.920
5350	10.69800	471.915	551.387	169.469	463.279	538.905	169.545	484.876	541.791	169.691	419.373	376.760	164.817	440.316	379.032	164.837	419.655	356.564	164.857
5351	10.70000	471.722	551.202	169.476	463.341	538.553	169.512	484.876	541.949	169.693	419.245	376.909	164.805	440.210	378.899	164.807	419.211	356.776	164.735
5352	10.70200	471.493	551.033	169.455	463.439	538.191	169.529	484.886	542.108	169.663	419.180	377.145	164.749	440.105	378.694	164.757	418.689	357.001	164.684
5353	10.70400	471.285	550.891	169.449	463.576	537.796	169.543	484.879	542.268	169.664	419.091	377.468	164.681	439.973	378.508	164.768	418.152	357.223	164.748
5354	10.70600	471.078	550.731	169.444	463.667	537.451	169.530	484.855	542.400	169.679	418.782	377.678	164.677	439.713	378.338	164.780	417.647	357.421	164.862
5355	10.70800	470.848	550.554	169.436	463.772	537.100	169.560	484.856	542.559	169.680	418.524	377.809	164.664	439.475	378.150	164.932	417.112	357.595	164.852
5356	10.71000	470.637	550.368	169.477	463.895	536.739	169.544	484.833	542.736	169.681	418.339	377.909	164.762	439.283	377.993	164.950	416.669	357.796	164.860
5357	10.71200	470.424	550.190	169.441	463.996	536.387	169.514	484.778	542.902	169.699	418.276	378.090	164.857	439.194	377.867	164.904	416.183	358.047	164.787
5358	10.71400	470.237	550.022	169.480	464.134	536.062	169.499	484.734	543.069	169.685	418.202	378.335	164.817	439.122	377.731	164.812	415.711	358.295	164.832
5359	10.71600	470.037	549.861	169.476	464.279	535.727	169.502	484.683	543.272	169.639	418.043	378.553	164.764	439.007	377.569	164.773	415.198	358.541	164.839
5360	10.71800	469.784	549.684	169.469	464.404	535.420	169.456	484.631	543.439	169.624	417.791	378.760	164.697	438.721	377.408	164.802	414.685	358.776	164.842
5361	10.72000	469.560	549.515	169.478	464.570	535.121	169.488	484.579	543.643	169.609	417.606	378.936	164.698	438.385	377.241	164.802	414.175	359.034	164.755
5362	10.72200	469.368	549.338	169.473	464.714	534.812	169.506	484.507	543.845	169.656	417.466	379.123	164.747	438.198	377.091	164.839	413.671	359.266	164.835
5363	10.72400	469.171	549.188	169.420	464.822	534.557	169.492	484.425	544.057	169.626	417.335	379.334	164.745	438.058	376.959	164.842	413.228	359.531	164.872
5364	10.72600	468.972	549.019	169.401	464.951	534.292	169.495	484.349	544.259	169.612	417.166	379.518	164.730	437.934	376.818	164.862	412.737	359.795	164.880
5365	10.72800	468.731	548.814	169.440	465.117	534.002	169.543	484.235	544.435	169.611	416.997	379.695	164.762	437.733	376.617	164.904	412.255	360.097	164.803
5366	10.73000	468.537	548.628	169.481	465.284	533.737	169.548	484.135	544.646	169.613	416.859	379.908	164.789	437.492	376.441	164.929	411.785	360.378	164.810
5367	10.73200	468.322	548.451	169.474	465.437	533.509	169.549	483.943	544.873	169.615	416.712	380.121	164.817	437.238	376.315	164.913	411.260	360.635	164.868
5368	10.73400	468.115	548.301	169.452	465.568	533.273	169.533	483.837	545.110	169.600	416.551	380.312	164.786	437.037	376.190	164.899	410.776	360.927	164.918
5369	10.73600	467.901	548.149	169.432	465.730	533.054	169.519	483.728	545.305	169.630	416.352	380.522	164.751	436.799	376.038	164.871	410.309	361.232	164.872
5370	10.73800	467.745	547.972	169.458	465.838	532.835	169.505	483.590	545.447	169.627	416.200	380.714	164.718	436.568	375.895	164.859	409.859	361.529	164.843
5371	10.74000	467.483	547.787	169.465	465.975	532.607	169.506	483.416	545.659	169.595	416.055	380.900	164.734	436.338	375.761	164.829	409.349	361.838	164.892
