NO_OF_FRAMES	1034
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:58:35.109	957248.71359420
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i inelastisk stöt 5.9g vs 14.6g
MARKER_NAMES	h14_6g	hx	hy	v5_9g	vx	vy
COLLISION_TIME	0
TRAJECTORY_TYPES	Mixed	Measured	Mixed	Mixed	Mixed	Mixed
Frame	Time	h14_6g X	h14_6g Y	h14_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v5_9g X	v5_9g Y	v5_9g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
35475	70.94800	421.483	510.373	165.620	429.766	530.963	166.386	399.996	519.622	165.663	427.036	296.175	161.732	423.334	315.746	165.965	408.195	291.131	165.604
35476	70.95000	421.134	510.109	165.675	429.310	530.838	166.378	399.682	519.188	165.710	426.782	296.305	161.712	423.081	315.883	165.930	407.956	291.291	165.625
35477	70.95200	420.944	509.888	165.723	428.779	530.685	166.357	399.303	518.701	165.633	426.528	296.457	161.751	422.814	316.021	165.896	407.699	291.432	165.652
35478	70.95400	420.700	509.718	165.742	428.295	530.534	166.363	398.937	518.311	165.696	426.290	296.562	161.753	422.602	316.149	165.846	407.422	291.571	165.645
35479	70.95600	420.284	509.451	165.712	427.799	530.363	166.342	398.607	517.842	165.680	426.012	296.684	161.751	422.363	316.289	165.843	407.179	291.721	165.650
35480	70.95800	420.044	509.187	165.679	427.356	530.186	166.364	398.184	517.391	165.697	425.758	296.824	161.745	422.118	316.419	165.826	406.973	291.853	165.660
35481	70.96000	419.853	508.930	165.695	426.852	530.006	166.389	397.838	516.965	165.760	425.528	296.956	161.756	421.888	316.542	165.827	406.734	291.995	165.685
35482	70.96200	419.470	508.715	165.765	426.384	529.872	166.396	397.502	516.488	165.666	425.307	297.062	161.758	421.643	316.699	165.819	406.449	292.144	165.692
35483	70.96400	419.205	508.503	165.761	425.877	529.701	166.345	397.077	516.062	165.699	425.029	297.201	161.752	421.421	316.822	165.820	406.219	292.295	165.730
35484	70.96600	418.977	508.220	165.638	425.395	529.532	166.321	396.739	515.593	165.716	424.781	297.351	161.761	421.158	316.954	165.835	405.981	292.418	165.728
35485	70.96800	418.719	508.015	165.531	424.898	529.353	166.253	396.352	515.124	165.669	424.528	297.481	161.741	420.898	317.086	165.848	405.703	292.549	165.739
35486	70.97000	418.341	507.756	165.678	424.421	529.158	166.243	396.003	514.699	165.734	424.292	297.603	161.738	420.665	317.218	165.864	405.395	292.669	165.705
35487	70.97200	418.114	507.518	165.720	423.924	528.988	166.285	395.688	514.221	165.675	424.022	297.733	161.718	420.435	317.350	165.878	405.142	292.806	165.667
35488	70.97400	417.879	507.306	165.722	423.434	528.819	166.291	395.298	513.813	165.676	423.743	297.873	161.714	420.176	317.463	165.863	404.915	292.953	165.641
35489	70.97600	417.542	507.083	165.584	422.939	528.639	166.318	394.961	513.317	165.682	423.498	297.988	161.729	419.946	317.603	165.860	404.688	293.100	165.615
