NO_OF_FRAMES	916
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:54:26.470	957000.07502390
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i inelastisk stöt 5.9g vs 22.9g
MARKER_NAMES	h22_9g	hx	hy	v5_9g	vx	vy
COLLISION_TIME	0
TRAJECTORY_TYPES	Mixed	Mixed	Measured	Measured	Measured	Measured
Frame	Time	h22_9g X	h22_9g Y	h22_9g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v5_9g X	v5_9g Y	v5_9g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
4060	8.11800	521.150	622.632	164.607	489.290	620.366	164.584	525.013	593.992	164.548	439.388	385.897	162.005	448.671	403.563	165.562	421.479	393.536	165.724
4061	8.12000	520.705	622.243	164.739	489.025	619.670	164.505	525.003	593.671	164.563	439.272	386.127	162.031	448.631	403.775	165.598	421.413	393.897	165.687
4062	8.12200	520.414	621.938	164.598	488.708	618.883	164.541	525.041	593.305	164.537	439.174	386.382	162.007	448.623	403.970	165.605	421.344	394.250	165.700
4063	8.12400	520.183	621.480	164.614	488.429	618.122	164.627	525.070	592.990	164.517	439.035	386.664	161.996	448.616	404.164	165.609	421.283	394.585	165.715
4064	8.12600	519.719	621.091	164.748	488.149	617.384	164.528	525.045	592.684	164.596	438.929	386.918	161.973	448.608	404.351	165.632	421.223	394.947	165.710
4065	8.12800	519.426	620.804	164.608	487.910	616.651	164.541	525.071	592.349	164.607	438.822	387.157	161.983	448.607	404.529	165.672	421.139	395.318	165.721
4066	8.13000	519.204	620.336	164.671	487.611	615.870	164.629	525.112	592.046	164.539	438.721	387.415	162.022	448.598	404.734	165.723	421.086	395.653	165.735
4067	8.13200	518.681	619.964	164.714	487.321	615.131	164.561	525.090	591.743	164.586	438.598	387.671	162.030	448.591	404.936	165.713	421.009	396.008	165.780
4068	8.13400	518.445	619.675	164.668	487.089	614.416	164.576	525.099	591.438	164.665	438.461	387.926	162.006	448.562	405.129	165.688	420.933	396.377	165.759
4069	8.13600	518.186	619.198	164.685	486.847	613.645	164.622	525.123	591.117	164.595	438.339	388.190	161.997	448.541	405.331	165.646	420.882	396.747	165.739
4070	8.13800	517.710	618.846	164.699	486.564	612.887	164.588	525.146	590.829	164.531	438.230	388.438	162.023	448.551	405.524	165.621	420.819	397.101	165.784
4071	8.14000	517.479	618.532	164.665	486.265	612.168	164.521	525.119	590.550	164.597	438.122	388.686	162.048	448.528	405.718	165.627	420.737	397.461	165.749
4072	8.14200	517.179	618.072	164.683	486.023	611.396	164.569	525.132	590.237	164.720	438.008	388.940	162.025	448.521	405.913	165.633	420.676	397.840	165.745
4073	8.14400	516.746	617.697	164.649	485.783	610.645	164.585	525.131	589.970	164.530	437.879	389.195	162.002	448.517	406.123	165.575	420.631	398.176	165.761
4074	8.14600	516.520	617.371	164.693	485.588	609.929	164.605	525.140	589.679	164.531	437.779	389.477	161.992	448.489	406.324	165.533	420.572	398.554	165.724
4075	8.14800	516.167	616.927	164.713	485.347	609.178	164.621	525.136	589.411	164.580	437.664	389.717	162.032	448.451	406.517	165.508	420.497	398.949	165.686
4076	8.15000	515.767	616.564	164.633	485.065	608.426	164.669	525.142	589.133	164.707	437.548	389.956	162.043	448.443	406.703	165.532	420.443	399.259	165.721
4077	8.15200	515.545	616.213	164.659	484.860	607.686	164.640	525.118	588.882	164.550	437.411	390.228	162.018	448.427	406.881	165.571	420.399	399.613	165.734
4078	8.15400	515.163	615.798	164.747	484.641	606.944	164.644	525.118	588.599	164.536	437.311	390.484	162.028	448.410	407.077	165.609	420.317	399.999	165.682
4079	8.15600	514.834	615.453	164.699	484.445	606.192	164.695	525.132	588.359	164.601	437.196	390.740	162.035	448.404	407.262	165.600	420.271	400.335	165.700
4080	8.15800	514.572	615.085	164.723	484.200	605.495	164.656	525.153	588.092	164.680	437.066	390.995	162.013	448.388	407.456	165.607	420.208	400.663	165.765
4081	8.16000	514.164	614.671	164.781	483.989	604.764	164.646	525.090	587.855	164.619	436.972	391.245	162.070	448.366	407.633	165.616	420.139	401.034	165.777
4082	8.16200	513.858	614.317	164.749	483.755	603.994	164.697	525.051	587.601	164.558	436.834	391.500	162.079	448.334	407.836	165.638	420.087	401.378	165.778
4083	8.16400	513.564	613.961	164.695	483.585	603.290	164.674	525.036	587.327	164.589	436.706	391.772	162.023	448.311	408.031	165.644	420.041	401.732	165.792
4084	8.16600	513.172	613.555	164.770	483.409	602.565	164.654	525.074	587.105	164.626	436.607	392.028	162.031	448.287	408.199	165.669	419.971	402.078	165.856
4085	8.16800	512.862	613.175	164.750	483.158	601.822	164.691	525.013	586.882	164.661	436.492	392.259	162.058	448.272	408.376	165.678	419.920	402.438	165.823
4086	8.17000	512.557	612.826	164.713	483.014	601.099	164.670	524.940	586.661	164.633	436.353	392.531	162.036	448.259	408.570	165.653	419.860	402.790	165.807
4087	8.17200	512.188	612.419	164.821	482.733	600.361	164.643	524.877	586.379	164.586	436.239	392.785	162.013	448.230	408.763	165.628	419.775	403.144	165.823
4088	8.17400	511.870	612.057	164.802	482.616	599.635	164.688	524.885	586.176	164.591	436.133	393.042	162.021	448.200	408.957	165.635	419.732	403.504	165.790
4089	8.17600	511.572	611.706	164.768	482.396	598.929	164.639	524.898	585.965	164.610	436.002	393.324	162.012	448.163	409.151	165.610	419.682	403.864	165.726
4090	8.17800	511.197	611.292	164.858	482.236	598.222	164.683	524.865	585.760	164.616	435.878	393.554	162.041	448.133	409.336	165.602	419.621	404.225	165.726
4091	8.18000	510.873	610.931	164.809	482.048	597.479	164.725	524.772	585.541	164.617	435.764	393.819	162.033	448.109	409.504	165.629	419.545	404.569	165.727
4092	8.18200	510.560	610.579	164.775	481.870	596.765	164.723	524.743	585.304	164.587	435.643	394.074	162.010	448.072	409.697	165.604	419.512	404.937	165.647
4093	8.18400	510.171	610.158	164.849	481.699	596.048	164.723	524.756	585.120	164.592	435.511	394.321	162.037	448.043	409.882	165.595	419.434	405.290	165.664
4094	8.18600	509.863	609.815	164.801	481.502	595.342	164.737	524.756	584.917	164.597	435.394	394.579	162.079	448.006	410.068	165.587	419.390	405.634	165.665
4095	8.18800	509.554	609.444	164.798	481.370	594.666	164.675	524.740	584.742	164.586	435.289	394.832	162.026	447.999	410.253	165.580	419.345	405.978	165.667
4096	8.19000	509.181	609.049	164.859	481.216	593.960	164.691	524.690	584.536	164.624	435.157	395.098	162.051	447.953	410.437	165.573	419.276	406.348	165.652
4097	8.19200	508.866	608.679	164.825	481.093	593.233	164.741	524.566	584.297	164.595	435.051	395.354	162.059	447.930	410.614	165.582	419.215	406.684	165.671
4098	8.19400	508.559	608.309	164.791	480.865	592.524	164.790	524.525	584.120	164.586	434.952	395.601	162.054	447.901	410.799	165.574	419.177	407.012	165.706
4099	8.19600	508.182	607.909	164.804	480.727	591.818	164.746	524.491	583.954	164.530	434.782	395.847	162.051	447.871	410.976	165.582	419.133	407.399	165.688
4100	8.19800	507.887	607.544	164.821	480.625	591.149	164.766	524.479	583.805	164.506	434.683	396.122	162.058	447.854	411.145	165.608	419.064	407.743	165.692
4101	8.20000	507.579	607.147	164.800	480.511	590.461	164.724	524.412	583.628	164.496	434.591	396.378	162.068	447.839	411.339	165.616	419.033	408.063	165.744
4102	8.20200	507.232	606.799	164.818	480.366	589.729	164.756	524.319	583.421	164.564	434.444	396.634	162.079	447.800	411.516	165.626	418.980	408.434	165.760
4103	8.20400	506.890	606.426	164.848	480.167	589.048	164.763	524.246	583.226	164.555	434.312	396.880	162.076	447.770	411.701	165.618	418.935	408.794	165.730
4104	8.20600	506.587	606.029	164.860	480.093	588.350	164.800	524.198	583.057	164.561	434.222	397.137	162.085	447.732	411.860	165.630	418.895	409.107	165.831
4105	8.20800	506.213	605.683	164.815	479.978	587.690	164.746	524.148	582.910	164.505	434.099	397.393	162.095	447.723	412.038	165.670	418.857	409.452	165.865
4106	8.21000	505.906	605.311	164.815	479.840	587.011	164.752	524.093	582.777	164.513	433.970	397.674	162.055	447.699	412.207	165.696	418.812	409.814	165.867
4107	8.21200	505.581	604.920	164.813	479.676	586.320	164.746	524.014	582.617	164.536	433.895	397.913	162.066	447.685	412.374	165.690	418.758	410.150	165.888
4108	8.21400	505.204	604.540	164.795	479.612	585.641	164.786	523.914	582.466	164.543	433.764	398.161	162.092	447.654	412.561	165.714	418.741	410.488	165.971
4109	8.21600	504.901	604.194	164.844	479.509	585.008	164.688	523.832	582.309	164.562	433.617	398.442	162.086	447.633	412.736	165.692	418.711	410.832	165.974
4110	8.21800	504.569	603.812	164.828	479.431	584.311	164.758	523.728	582.148	164.584	433.525	398.700	162.127	447.595	412.929	165.669	418.620	411.193	165.945
4111	8.22000	504.222	603.440	164.828	479.290	583.665	164.710	523.641	581.986	164.639	433.433	398.939	162.140	447.558	413.097	165.663	418.613	411.538	165.981
4112	8.22200	503.857	603.052	164.855	479.209	582.969	164.718	523.563	581.862	164.632	433.248	399.201	162.105	447.520	413.264	165.658	418.592	411.883	165.984
4113	8.22400	503.557	602.704	164.844	479.072	582.342	164.702	523.495	581.739	164.624	433.148	399.459	162.145	447.492	413.440	165.635	418.518	412.250	165.908
4114	8.22600	503.242	602.323	164.829	478.960	581.671	164.727	523.423	581.615	164.648	433.057	399.698	162.157	447.471	413.634	165.611	418.482	412.601	165.865
4115	8.22800	502.838	601.925	164.872	478.854	581.025	164.774	523.312	581.480	164.687	432.913	399.977	162.088	447.427	413.810	165.588	418.460	412.920	165.887
4116	8.23000	502.528	601.594	164.894	478.793	580.381	164.788	523.227	581.347	164.695	432.822	400.252	162.095	447.382	413.985	165.567	418.402	413.296	165.795
4117	8.23200	502.244	601.206	164.862	478.726	579.762	164.820	523.135	581.224	164.687	432.738	400.491	162.108	447.330	414.161	165.545	418.367	413.664	165.719
4118	8.23400	501.908	600.820	164.943	478.621	579.093	164.787	522.992	581.091	164.664	432.601	400.779	162.054	447.309	414.337	165.523	418.297	413.948	165.778
4119	8.23600	501.515	600.458	164.927	478.547	578.465	164.835	522.866	580.951	164.653	432.480	401.017	162.035	447.279	414.505	165.517	418.278	414.326	165.717
4120	8.23800	501.253	600.078	164.913	478.462	577.783	164.882	522.775	580.855	164.631	432.380	401.264	162.033	447.248	414.664	165.529	418.266	414.694	165.642
4121	8.24000	500.907	599.706	164.914	478.422	577.186	164.822	522.631	580.746	164.626	432.234	401.536	162.012	447.185	414.832	165.557	418.218	414.997	165.730
4122	8.24200	500.526	599.350	164.947	478.331	576.539	164.871	522.529	580.621	164.650	432.128	401.775	162.024	447.161	414.991	165.569	418.146	415.308	165.803
4123	8.24400	500.212	598.960	164.918	478.231	575.903	164.874	522.424	580.506	164.628	432.035	402.023	162.052	447.117	415.149	165.550	418.140	415.660	165.793
4124	8.24600	499.895	598.578	164.936	478.204	575.305	164.876	522.317	580.425	164.639	431.890	402.304	162.014	447.077	415.318	165.576	418.128	416.022	165.764
4125	8.24800	499.570	598.224	164.937	478.105	574.650	164.880	522.216	580.320	164.570	431.789	402.544	162.059	447.063	415.477	165.587	418.096	416.324	165.821
4126	8.25000	499.179	597.805	165.014	478.045	574.066	164.918	522.068	580.212	164.595	431.689	402.782	162.074	447.017	415.637	165.599	418.046	416.643	165.911
4127	8.25200	498.857	597.468	164.989	477.999	573.415	164.889	521.906	580.096	164.603	431.551	403.056	162.082	446.977	415.805	165.626	418.010	416.996	165.900
4128	8.25400	498.577	597.097	165.021	477.951	572.866	164.930	521.734	580.019	164.547	431.460	403.294	162.066	446.955	415.963	165.607	418.008	417.365	165.824
4129	8.25600	498.160	596.725	165.022	477.877	572.231	164.934	521.613	579.940	164.526	431.314	403.568	162.075	446.904	416.147	165.568	417.969	417.675	165.865
4130	8.25800	497.814	596.359	165.012	477.840	571.632	164.908	521.481	579.841	164.535	431.216	403.849	162.037	446.867	416.323	165.547	417.921	418.002	165.907
