NO_OF_FRAMES	683
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:36:27.134	955920.74383810
DATA_INCLUDED	3D
MARKER_NAMES	h27_7g	hx	hy	v5_9g	vx	vy
TRAJECTORY_TYPES	Mixed	Measured	Mixed	Mixed	Mixed	Mixed
Frame	Time	h27_7g X	h27_7g Y	h27_7g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v5_9g X	v5_9g Y	v5_9g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
6688	13.37400	543.409	618.138	164.994	523.475	614.692	165.286	548.726	597.667	165.217	504.244	366.707	161.796	521.245	377.229	165.548	492.688	382.242	165.657
6689	13.37600	543.099	617.722	165.001	523.183	614.196	165.274	548.606	597.358	165.180	504.052	367.054	161.879	521.146	377.465	165.526	492.667	382.763	165.655
6690	13.37800	542.876	617.385	165.001	522.967	613.703	165.260	548.502	597.062	165.126	503.878	367.468	161.853	521.088	377.710	165.487	492.644	383.275	165.673
6691	13.38000	542.616	617.086	164.971	522.718	613.180	165.294	548.336	596.738	165.169	503.707	367.891	161.809	521.008	377.955	165.446	492.616	383.787	165.657
6692	13.38200	542.280	616.684	165.012	522.493	612.698	165.204	548.232	596.419	165.209	503.504	368.262	161.840	520.951	378.177	165.424	492.605	384.306	165.626
6693	13.38400	542.042	616.340	164.995	522.235	612.216	165.258	548.097	596.124	165.154	503.329	368.668	161.833	520.869	378.414	165.400	492.568	384.810	165.628
6694	13.38600	541.826	616.020	164.997	522.018	611.697	165.258	547.982	595.832	165.149	503.155	369.079	161.779	520.767	378.650	165.345	492.554	385.327	165.534
6695	13.38800	541.524	615.639	165.008	521.778	611.227	165.266	547.836	595.509	165.223	502.938	369.461	161.821	520.668	378.869	165.325	492.532	385.830	165.538
6696	13.39000	541.254	615.303	165.008	521.532	610.715	165.254	547.759	595.218	165.220	502.777	369.850	161.817	520.576	379.098	165.320	492.489	386.331	165.509
6697	13.39200	540.990	614.940	165.020	521.285	610.239	165.243	547.623	594.929	165.183	502.625	370.296	161.724	520.459	379.311	165.348	492.488	386.860	165.461
6698	13.39400	540.735	614.602	165.021	521.067	609.723	165.356	547.468	594.608	165.193	502.395	370.668	161.787	520.366	379.525	165.375	492.448	387.337	165.485
6699	13.39600	540.467	614.258	165.005	520.843	609.257	165.271	547.374	594.290	165.203	502.231	371.040	161.819	520.280	379.755	165.401	492.444	387.849	165.472
6700	13.39800	540.178	613.884	165.034	520.588	608.748	165.371	547.238	594.000	165.167	502.030	371.471	161.759	520.180	379.977	165.412	492.411	388.329	165.526
6701	13.40000	539.925	613.540	165.017	520.374	608.274	165.329	547.085	593.700	165.147	501.872	371.855	161.836	520.078	380.208	165.437	492.378	388.815	165.566
6702	13.40200	539.650	613.187	164.985	520.138	607.760	165.381	546.967	593.389	165.174	501.669	372.244	161.865	519.963	380.419	165.434	492.398	389.336	165.537
6703	13.40400	539.384	612.821	165.031	519.911	607.293	165.327	546.851	593.098	165.170	501.515	372.682	161.790	519.860	380.641	165.477	492.355	389.798	165.627
6704	13.40600	539.099	612.476	165.014	519.661	606.769	165.364	546.707	592.807	165.134	501.305	373.079	161.803	519.751	380.844	165.492	492.363	390.311	165.647
6705	13.40800	538.824	612.123	164.982	519.462	606.302	165.341	546.573	592.513	165.163	501.085	373.444	161.882	519.643	381.048	165.505	492.357	390.798	165.655
6706	13.41000	538.565	611.759	165.028	519.211	605.802	165.284	546.464	592.232	165.174	500.926	373.858	161.860	519.571	381.284	165.451	492.329	391.268	165.729
6707	13.41200	538.294	611.429	165.046	518.978	605.304	165.309	546.316	591.928	165.188	500.775	374.273	161.838	519.467	381.512	165.414	492.340	391.780	165.718
6708	13.41400	538.020	611.085	164.999	518.766	604.838	165.255	546.154	591.635	165.184	500.571	374.661	161.869	519.345	381.724	165.411	492.324	392.248	165.731
6709	13.41600	537.753	610.703	165.044	518.536	604.313	165.325	546.024	591.337	165.163	500.379	375.084	161.862	519.208	381.943	165.390	492.318	392.742	165.724
6710	13.41800	537.500	610.357	165.030	518.331	603.855	165.289	545.929	591.062	165.193	500.175	375.489	161.825	519.109	382.137	165.391	492.322	393.227	165.701
6711	13.42000	537.223	610.030	165.016	518.064	603.323	165.341	545.790	590.751	165.190	499.994	375.869	161.873	518.980	382.374	165.369	492.308	393.703	165.698
6712	13.42200	536.918	609.630	165.059	517.867	602.891	165.292	545.652	590.451	165.171	499.836	376.266	161.854	518.898	382.594	165.349	492.322	394.187	165.645
6713	13.42400	536.671	609.293	165.061	517.646	602.342	165.345	545.537	590.176	165.169	499.684	376.698	161.831	518.781	382.807	165.377	492.308	394.681	165.638
6714	13.42600	536.422	608.975	165.003	517.455	601.891	165.327	545.413	589.901	165.168	499.461	377.086	161.829	518.642	383.028	165.388	492.306	395.155	165.572
6715	13.42800	536.133	608.584	165.032	517.245	601.387	165.336	545.262	589.609	165.134	499.283	377.483	161.843	518.502	383.232	165.402	492.301	395.622	165.555
6716	13.43000	535.877	608.240	165.047	516.997	600.883	165.344	545.106	589.290	165.145	499.125	377.905	161.806	518.369	383.454	165.444	492.307	396.123	165.501
6717	13.43200	535.601	607.910	165.036	516.789	600.424	165.341	545.032	589.036	165.114	498.933	378.286	161.821	518.243	383.674	165.458	492.293	396.565	165.502
6718	13.43400	535.316	607.530	165.019	516.578	599.910	165.367	544.888	588.746	165.079	498.769	378.685	161.867	518.113	383.879	165.470	492.297	397.058	165.466
6719	13.43600	535.074	607.176	165.051	516.386	599.424	165.347	544.752	588.443	165.123	498.588	379.090	161.831	517.981	384.099	165.483	492.291	397.500	165.467
6720	13.43800	534.788	606.838	165.054	516.153	598.928	165.374	544.596	588.159	165.137	498.405	379.494	161.798	517.857	384.295	165.513	492.274	397.960	165.499
6721	13.44000	534.513	606.485	165.024	515.932	598.462	165.323	544.451	587.911	165.122	498.226	379.901	161.828	517.716	384.501	165.557	492.320	398.428	165.448
6722	13.44200	534.248	606.123	165.039	515.696	597.949	165.378	544.337	587.629	165.104	498.019	380.289	161.827	517.576	384.704	165.572	492.279	398.856	165.581
6723	13.44400	533.992	605.776	165.057	515.532	597.482	165.299	544.159	587.308	165.178	497.863	380.713	161.789	517.438	384.898	165.572	492.264	399.307	165.599
6724	13.44600	533.692	605.414	165.042	515.320	596.977	165.342	544.048	587.046	165.129	497.693	381.093	161.806	517.282	385.083	165.589	492.333	399.778	165.645
6725	13.44800	533.437	605.059	165.044	515.097	596.491	165.324	543.918	586.781	165.113	497.507	381.473	161.824	517.143	385.287	165.604	492.296	400.187	165.747
6726	13.45000	533.176	604.697	165.029	514.894	596.033	165.260	543.757	586.498	165.095	497.329	381.929	161.751	517.030	385.489	165.586	492.317	400.647	165.781
6727	13.45200	532.890	604.342	165.031	514.659	595.522	165.285	543.623	586.222	165.127	497.122	382.301	161.753	516.901	385.692	165.569	492.360	401.099	165.765
6728	13.45400	532.599	603.990	165.001	514.477	595.045	165.253	543.482	585.936	165.143	496.891	382.682	161.836	516.751	385.895	165.550	492.356	401.542	165.834
6729	13.45600	532.366	603.625	165.019	514.263	594.548	165.313	543.340	585.691	165.095	496.768	383.112	161.751	516.582	386.096	165.534	492.354	401.992	165.788
6730	13.45800	532.091	603.289	164.992	514.066	594.099	165.267	543.205	585.417	165.125	496.632	383.494	161.767	516.405	386.307	165.532	492.388	402.442	165.775
6731	13.46000	531.814	602.927	164.978	513.852	593.584	165.326	543.049	585.133	165.139	496.410	383.874	161.820	516.244	386.508	165.516	492.382	402.882	165.750
6732	13.46200	531.521	602.560	165.058	513.669	593.108	165.294	542.896	584.853	165.120	496.222	384.310	161.686	516.110	386.719	165.481	492.380	403.331	165.706
6733	13.46400	531.278	602.217	165.014	513.441	592.621	165.339	542.780	584.578	165.120	496.066	384.728	161.731	515.983	386.923	165.462	492.435	403.798	165.694
6734	13.46600	531.002	601.863	164.986	513.243	592.144	165.309	542.610	584.337	165.123	495.853	385.063	161.776	515.816	387.126	165.444	492.368	404.203	165.605
6735	13.46800	530.728	601.497	165.036	513.042	591.666	165.309	542.459	584.034	165.168	495.708	385.493	161.690	515.659	387.338	165.474	492.419	404.677	165.613
6736	13.47000	530.451	601.154	165.023	512.862	591.170	165.340	542.331	583.761	165.136	495.579	385.928	161.700	515.480	387.540	165.490	492.412	405.091	165.540
6737	13.47200	530.183	600.800	164.995	512.688	590.713	165.279	542.200	583.515	165.121	495.315	386.270	161.695	515.298	387.750	165.455	492.408	405.525	165.596
6738	13.47400	529.919	600.436	165.014	512.452	590.198	165.340	542.033	583.241	165.089	495.123	386.720	161.704	515.109	387.960	165.421	492.389	405.953	165.528
6739	13.47600	529.662	600.072	165.033	512.259	589.750	165.233	541.863	582.967	165.088	495.012	387.099	161.662	514.970	388.167	165.464	492.424	406.390	165.545
6740	13.47800	529.382	599.737	164.975	512.063	589.255	165.264	541.733	582.701	165.074	494.826	387.471	161.698	514.825	388.355	165.544	492.430	406.788	165.641
6741	13.48000	529.109	599.346	165.008	511.893	588.777	165.267	541.588	582.434	165.060	494.675	387.900	161.788	514.657	388.517	165.613	492.341	407.217	165.602
6742	13.48200	528.861	599.009	165.013	511.703	588.311	165.221	541.439	582.168	165.076	494.495	388.293	161.646	514.496	388.710	165.613	492.468	407.665	165.702
6743	13.48400	528.595	598.664	164.971	511.524	587.823	165.240	541.302	581.921	165.062	494.222	388.734	161.743	514.287	388.927	165.531	492.435	408.010	165.737
6744	13.48600	528.306	598.274	165.004	511.293	587.337	165.225	541.152	581.627	165.092	494.062	389.089	161.816	514.090	389.178	165.477	492.358	408.485	165.808
6745	13.48800	528.050	597.956	165.010	511.110	586.859	165.289	541.037	581.415	165.080	493.933	389.500	161.705	513.922	389.390	165.474	492.482	408.885	165.770
6746	13.49000	527.775	597.600	164.984	510.958	586.409	165.248	540.850	581.149	165.096	493.756	389.946	161.760	513.771	389.552	165.542	492.463	409.274	165.817
6747	13.49200	527.525	597.245	165.020	510.738	585.921	165.297	540.672	580.875	165.096	493.667	390.260	161.787	513.639	389.707	165.592	492.429	409.741	165.840
6748	13.49400	527.255	596.882	165.009	510.598	585.478	165.304	540.556	580.652	165.100	493.502	390.715	161.720	513.428	389.898	165.596	492.532	410.105	165.775
6749	13.49600	526.977	596.545	165.014	510.383	584.974	165.291	540.392	580.368	165.116	493.118	391.173	161.676	513.235	390.194	165.518	492.551	410.556	165.830
6750	13.49800	526.724	596.192	164.989	510.205	584.515	165.295	540.256	580.131	165.086	493.007	391.453	161.773	512.995	390.439	165.446	492.551	410.963	165.776
6751	13.50000	526.450	595.826	165.041	510.003	584.037	165.298	540.098	579.873	165.119	492.841	391.921	161.750	512.766	390.624	165.497	492.619	411.359	165.713
6752	13.50200	526.159	595.491	165.014	509.817	583.578	165.302	539.945	579.625	165.105	492.716	392.360	161.617	512.596	390.779	165.613	492.606	411.809	165.704
6753	13.50400	525.897	595.127	165.004	509.657	583.102	165.276	539.754	579.368	165.076	492.671	392.678	161.772	512.452	390.985	165.690	492.618	412.171	165.674
6754	13.50600	525.633	594.763	165.025	509.459	582.596	165.327	539.564	579.084	165.122	492.459	393.129	161.817	512.169	391.215	165.749	492.621	412.606	165.595
6755	13.50800	525.363	594.434	165.018	509.305	582.183	165.226	539.451	578.864	165.093	492.113	393.565	161.616	511.975	391.469	165.625	492.650	413.025	165.586
6756	13.51000	525.069	594.063	165.020	509.088	581.667	165.323	539.310	578.596	165.112	491.940	393.898	161.773	511.725	391.670	165.642	492.664	413.378	165.607
6757	13.51200	524.831	593.718	165.012	508.906	581.218	165.282	539.163	578.357	165.114	491.779	394.289	161.807	511.595	391.858	165.724	492.610	413.814	165.560
6758	13.51400	524.520	593.352	165.033	508.746	580.769	165.241	538.971	578.091	165.100	491.736	394.751	161.596	511.412	392.063	165.803	492.718	414.206	165.540
6759	13.51600	524.316	593.019	164.977	508.530	580.252	165.341	538.815	577.825	165.117	491.619	395.113	161.762	511.102	392.241	165.834	492.743	414.552	165.610
6760	13.51800	523.989	592.610	165.012	508.383	579.839	165.240	538.640	577.607	165.087	491.319	395.511	161.780	510.902	392.417	165.771	492.656	414.953	165.599
6761	13.52000	523.718	592.290	165.020	508.209	579.334	165.293	538.494	577.358	165.074	491.223	395.939	161.639	510.671	392.656	165.708	492.745	415.353	165.597
6762	13.52200	523.523	591.966	164.950	508.040	578.874	165.270	538.347	577.101	165.077	490.892	396.317	161.764	510.542	392.882	165.675	492.848	415.703	165.696
6763	13.52400	523.191	591.534	165.048	507.883	578.424	165.293	538.175	576.850	165.097	490.751	396.704	161.707	510.319	393.083	165.731	492.772	416.054	165.753
