NO_OF_FRAMES	841
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:19:34.106	954907.71989120
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i inelastisk stöt 5.9g vs 34.4g
MARKER_NAMES	h34_3g	hx	hy	v5_9g	vx	vy
COLLISION_TIME	0.5
TRAJECTORY_TYPES	Mixed	Measured	Measured	Measured	Measured	Measured
Frame	Time	h34_3g X	h34_3g Y	h34_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v5_9g X	v5_9g Y	v5_9g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
4991	9.98000	245.941	418.110	169.540	246.767	402.767	169.707	262.118	418.473	169.916	431.918	373.399	161.832	428.895	393.134	165.871	412.937	369.036	165.729
4992	9.98200	245.972	418.136	169.552	247.320	402.841	169.709	262.128	418.934	169.753	431.448	373.593	161.855	428.427	393.309	165.868	412.473	369.216	165.642
4993	9.98400	246.012	418.155	169.582	247.656	402.901	169.690	262.147	419.386	169.813	431.019	373.776	161.832	427.918	393.504	165.927	412.044	369.373	165.639
4994	9.98600	246.051	418.172	169.581	248.199	403.018	169.639	262.173	419.825	169.793	430.521	373.984	161.790	427.439	393.680	165.958	411.570	369.573	165.612
4995	9.98800	246.120	418.210	169.579	248.567	403.123	169.630	262.154	420.279	169.710	430.060	374.210	161.746	426.938	393.882	166.000	411.107	369.757	165.623
4996	9.99000	246.196	418.227	169.578	249.098	403.242	169.642	262.175	420.749	169.767	429.613	374.439	161.765	426.462	394.075	165.996	410.645	369.950	165.647
4997	9.99200	246.249	418.253	169.561	249.496	403.357	169.619	262.130	421.161	169.736	429.157	374.617	161.824	425.988	394.277	166.004	410.182	370.118	165.691
4998	9.99400	246.318	418.288	169.557	249.995	403.456	169.630	262.097	421.609	169.701	428.680	374.794	161.848	425.513	394.494	165.950	409.738	370.277	165.718
4999	9.99600	246.356	418.313	169.539	250.387	403.599	169.619	262.102	422.095	169.726	428.224	374.987	161.875	425.029	394.705	165.975	409.292	370.478	165.725
5000	9.99800	246.409	418.357	169.520	250.848	403.743	169.641	261.995	422.509	169.695	427.788	375.215	161.859	424.559	394.889	165.989	408.862	370.656	165.780
5001	10.00000	246.447	418.402	169.531	251.255	403.903	169.627	261.991	423.003	169.734	427.316	375.460	161.847	424.044	395.090	166.000	408.431	370.858	165.788
5002	10.00200	246.494	418.420	169.530	251.721	404.062	169.584	261.922	423.444	169.717	426.849	375.660	161.821	423.577	395.291	165.979	407.947	371.051	165.811
5003	10.00400	246.547	418.463	169.510	252.130	404.240	169.600	261.801	423.860	169.750	426.379	375.835	161.818	423.112	395.508	165.923	407.494	371.234	165.790
5004	10.00600	246.600	418.499	169.507	252.544	404.410	169.602	261.755	424.352	169.695	425.910	376.021	161.857	422.644	395.726	165.901	407.001	371.409	165.816
5005	10.00800	246.647	418.526	169.520	252.992	404.615	169.630	261.650	424.749	169.729	425.476	376.216	161.914	422.160	395.937	165.926	406.579	371.586	165.842
5006	10.01000	246.692	418.570	169.501	253.406	404.828	169.611	261.545	425.173	169.746	425.007	376.444	161.903	421.666	396.130	165.955	406.126	371.787	165.848
5007	10.01200	246.770	418.608	169.531	253.837	405.069	169.635	261.444	425.630	169.695	424.595	376.688	161.855	421.167	396.305	165.953	405.705	371.971	165.857
5008	10.01400	246.821	418.636	169.515	254.236	405.299	169.614	261.316	426.018	169.714	424.080	376.878	161.817	420.691	396.515	165.948	405.237	372.144	165.820
5009	10.01600	246.892	418.672	169.543	254.629	405.523	169.640	261.164	426.439	169.697	423.648	377.072	161.842	420.217	396.733	165.924	404.770	372.317	165.784
5010	10.01800	246.946	418.707	169.539	255.044	405.780	169.631	260.979	426.853	169.668	423.176	377.267	161.899	419.741	396.951	165.902	404.287	372.525	165.742
5011	10.02000	246.993	418.742	169.536	255.434	406.039	169.623	260.814	427.250	169.701	422.759	377.481	161.952	419.258	397.143	165.898	403.833	372.690	165.725
5012	10.02200	247.047	418.787	169.548	255.836	406.296	169.644	260.669	427.654	169.688	422.290	377.681	161.929	418.765	397.336	165.927	403.413	372.900	165.713
5013	10.02400	247.108	418.822	169.545	256.252	406.589	169.662	260.492	428.041	169.645	421.832	377.905	161.854	418.264	397.522	165.971	402.960	373.074	165.708
5014	10.02600	247.154	418.857	169.541	256.574	406.882	169.647	260.310	428.421	169.681	421.380	378.140	161.793	417.788	397.731	165.967	402.525	373.256	165.654
5015	10.02800	247.201	418.902	169.553	256.967	407.183	169.648	260.072	428.817	169.653	420.909	378.333	161.819	417.313	397.941	165.960	402.048	373.430	165.651
5016	10.03000	247.263	418.947	169.565	257.321	407.477	169.665	259.875	429.196	169.688	420.483	378.521	161.893	416.860	398.161	165.969	401.603	373.622	165.644
5017	10.03200	247.334	419.001	169.592	257.667	407.788	169.680	259.686	429.574	169.692	419.997	378.732	161.915	416.369	398.361	165.950	401.133	373.807	165.685
5018	10.03400	247.404	419.045	169.603	258.060	408.114	169.661	259.456	429.926	169.685	419.556	378.931	161.858	415.892	398.555	165.978	400.694	374.001	165.710
